"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 22, 2019","2,963.98","2,957.40","2,966.11","2,953.70","-","0.22%"
"Nov 21, 2019","2,957.53","2,962.36","2,963.51","2,949.89","-","-0.16%"
"Nov 20, 2019","2,962.40","2,969.22","2,972.09","2,946.30","-","-0.33%"
"Nov 19, 2019","2,972.22","2,973.16","2,978.55","2,965.41","-","-0.03%"
"Nov 18, 2019","2,972.98","2,968.32","2,974.98","2,963.66","-","0.06%"
"Nov 15, 2019","2,971.24","2,948.37","2,971.24","2,948.37","-","0.78%"
"Nov 14, 2019","2,948.29","2,943.69","2,949.53","2,936.23","-","0.09%"
"Nov 13, 2019","2,945.73","2,943.02","2,949.57","2,931.71","-","0.08%"
"Nov 12, 2019","2,943.38","2,939.45","2,953.24","2,937.09","-","0.16%"
"Nov 11, 2019","2,938.82","2,931.06","2,940.11","2,927.54","-","-0.17%"
"Nov 08, 2019","2,943.73","2,935.75","2,943.74","2,925.32","-","0.27%"
"Nov 07, 2019","2,935.75","2,929.51","2,947.75","2,929.51","-","0.29%"
"Nov 06, 2019","2,927.24","2,924.98","2,927.25","2,917.22","-","0.06%"
"Nov 05, 2019","2,925.53","2,931.91","2,934.57","2,923.31","-","-0.14%"
"Nov 04, 2019","2,929.56","2,932.51","2,935.96","2,926.46","-","0.35%"
"Nov 01, 2019","2,919.34","2,903.56","2,919.34","2,903.56","-","0.97%"
"Oct 31, 2019","2,891.19","2,899.78","2,899.78","2,877.88","-","-0.31%"
"Oct 30, 2019","2,900.18","2,891.33","2,903.16","2,883.60","-","0.32%"
"Oct 29, 2019","2,890.81","2,889.57","2,901.02","2,889.00","-","-0.10%"
"Oct 28, 2019","2,893.69","2,886.58","2,898.08","2,886.58","-","0.56%"
"Oct 25, 2019","2,877.61","2,858.97","2,882.01","2,858.97","-","0.43%"
"Oct 24, 2019","2,865.41","2,869.01","2,869.85","2,855.53","-","0.25%"
"Oct 23, 2019","2,858.21","2,847.72","2,858.29","2,845.80","-","0.28%"
"Oct 22, 2019","2,850.19","2,863.75","2,867.96","2,849.44","-","-0.38%"
"Oct 21, 2019","2,861.02","2,852.68","2,861.23","2,850.51","-","0.68%"
"Oct 18, 2019","2,841.61","2,851.72","2,854.40","2,832.22","-","-0.40%"
"Oct 17, 2019","2,853.05","2,856.20","2,862.45","2,847.55","-","0.29%"
"Oct 16, 2019","2,844.88","2,846.00","2,852.18","2,840.53","-","-0.25%"
"Oct 15, 2019","2,851.91","2,830.86","2,859.06","2,830.86","-","0.99%"
"Oct 14, 2019","2,823.86","2,824.48","2,829.97","2,820.75","-","-0.13%"
"Oct 11, 2019","2,827.66","2,820.68","2,848.72","2,820.68","-","1.13%"
"Oct 10, 2019","2,796.05","2,777.60","2,805.72","2,776.84","-","0.63%"
"Oct 09, 2019","2,778.44","2,771.22","2,787.68","2,767.45","-","0.92%"
"Oct 08, 2019","2,753.18","2,780.11","2,783.57","2,753.05","-","-1.59%"
"Oct 07, 2019","2,797.79","2,802.42","2,816.99","2,794.92","-","-0.44%"
"Oct 04, 2019","2,810.02","2,779.43","2,811.25","2,778.82","-","1.41%"
"Oct 03, 2019","2,770.86","2,746.83","2,771.13","2,718.35","-","0.82%"
"Oct 02, 2019","2,748.40","2,783.62","2,783.62","2,736.56","-","-1.77%"
"Oct 01, 2019","2,797.84","2,840.79","2,847.48","2,796.80","-","-1.24%"
"Sep 30, 2019","2,832.91","2,823.31","2,839.27","2,823.31","-","0.52%"
"Sep 27, 2019","2,818.25","2,840.40","2,842.23","2,802.93","-","-0.56%"
"Sep 26, 2019","2,834.23","2,841.49","2,843.11","2,821.06","-","-0.25%"
"Sep 25, 2019","2,841.23","2,822.95","2,845.59","2,811.63","-","0.63%"
"Sep 24, 2019","2,823.40","2,857.77","2,863.43","2,815.29","-","-0.87%"
"Sep 23, 2019","2,848.28","2,842.49","2,855.19","2,840.61","-","-0.01%"
"Sep 20, 2019","2,848.60","2,863.69","2,871.43","2,842.71","-","-0.49%"
"Sep 19, 2019","2,862.74","2,865.77","2,876.95","2,859.60","-","0.00%"
"Sep 18, 2019","2,862.63","2,859.41","2,863.40","2,836.11","-","0.01%"
"Sep 17, 2019","2,862.33","2,852.82","2,862.75","2,851.20","-","0.27%"
"Sep 16, 2019","2,854.59","2,848.94","2,857.79","2,847.75","-","-0.25%"
"Sep 13, 2019","2,861.78","2,866.97","2,871.73","2,857.61","-","-0.11%"
"Sep 12, 2019","2,864.80","2,863.07","2,874.93","2,856.95","-","0.28%"
"Sep 11, 2019","2,856.72","2,837.04","2,856.72","2,832.75","-","0.73%"
"Sep 10, 2019","2,835.96","2,828.15","2,835.96","2,814.56","-","0.02%"
"Sep 09, 2019","2,835.39","2,845.08","2,845.89","2,826.95","-","-0.05%"
"Sep 06, 2019","2,836.88","2,837.88","2,842.99","2,831.74","-","0.08%"
"Sep 05, 2019","2,834.55","2,818.54","2,843.83","2,818.54","-","1.29%"
"Sep 04, 2019","2,798.46","2,787.66","2,799.22","2,783.87","-","1.09%"
"Sep 03, 2019","2,768.25","2,773.93","2,775.83","2,755.77","-","-0.69%"
"Aug 30, 2019","2,787.60","2,798.83","2,800.97","2,774.98","-","0.06%"
"Aug 29, 2019","2,785.94","2,771.84","2,791.51","2,769.24","-","1.27%"
"Aug 28, 2019","2,751.10","2,728.57","2,752.95","2,719.25","-","0.63%"
"Aug 27, 2019","2,733.89","2,757.15","2,762.39","2,726.30","-","-0.33%"
"Aug 26, 2019","2,743.07","2,732.67","2,743.52","2,722.62","-","1.08%"
"Aug 23, 2019","2,713.78","2,774.37","2,789.42","2,703.22","-","-2.59%"
"Aug 22, 2019","2,785.90","2,794.12","2,801.12","2,769.08","-","-0.07%"
"Aug 21, 2019","2,787.82","2,782.22","2,791.53","2,782.16","-","0.84%"
"Aug 20, 2019","2,764.52","2,781.69","2,785.70","2,764.39","-","-0.76%"
"Aug 19, 2019","2,785.79","2,779.65","2,792.67","2,777.72","-","1.19%"
"Aug 16, 2019","2,753.10","2,727.20","2,757.59","2,727.20","-","1.46%"
"Aug 15, 2019","2,713.53","2,711.40","2,721.63","2,693.12","-","0.22%"
"Aug 14, 2019","2,707.50","2,759.12","2,759.12","2,706.95","-","-2.94%"
"Aug 13, 2019","2,789.55","2,744.46","2,804.67","2,743.18","-","1.48%"
"Aug 12, 2019","2,749.00","2,771.85","2,771.85","2,739.38","-","-1.22%"
"Aug 09, 2019","2,783.05","2,794.83","2,798.65","2,766.18","-","-0.68%"
"Aug 08, 2019","2,802.04","2,762.95","2,802.57","2,760.60","-","1.91%"
"Aug 07, 2019","2,749.63","2,726.92","2,756.94","2,694.50","-","0.10%"
"Aug 06, 2019","2,746.94","2,725.99","2,749.20","2,714.56","-","1.31%"
"Aug 05, 2019","2,711.32","2,761.42","2,761.42","2,689.92","-","-3.00%"
"Aug 02, 2019","2,795.25","2,807.58","2,808.95","2,778.50","-","-0.78%"
"Aug 01, 2019","2,817.36","2,844.43","2,874.60","2,810.01","-","-0.91%"
"Jul 31, 2019","2,843.24","2,876.76","2,878.30","2,823.55","-","-1.06%"
"Jul 30, 2019","2,873.57","2,867.77","2,877.32","2,862.47","-","-0.26%"
"Jul 29, 2019","2,881.07","2,885.20","2,885.90","2,874.10","-","-0.19%"
"Jul 26, 2019","2,886.54","2,874.63","2,888.49","2,874.05","-","0.76%"
"Jul 25, 2019","2,864.87","2,877.36","2,877.36","2,859.34","-","-0.55%"
